,tile_ID,geometry,position
0,0,"POLYGON ((-74.0472219 40.68394109999999, -74.0472219 40.68904996283504, -74.0404845353691 40.68904996283504, -74.0404845353691 40.68394109999999, -74.0472219 40.68394109999999))","[0, 0]"
1,1,"POLYGON ((-74.0472219 40.68904996283504, -74.0472219 40.69415843402594, -74.0404845353691 40.69415843402594, -74.0404845353691 40.68904996283504, -74.0472219 40.68904996283504))","[0, 1]"
2,2,"POLYGON ((-74.0472219 40.69926651356212, -74.0472219 40.70437420143299, -74.0404845353691 40.70437420143299, -74.0404845353691 40.69926651356212, -74.0472219 40.69926651356212))","[0, 3]"
3,3,"POLYGON ((-74.0404845353691 40.69415843402594, -74.0404845353691 40.69926651356212, -74.0337471707382 40.69926651356212, -74.0337471707382 40.69415843402594, -74.0404845353691 40.69415843402594))","[1, 2]"
4,4,"POLYGON ((-74.0404845353691 40.69926651356212, -74.0404845353691 40.70437420143299, -74.0337471707382 40.70437420143299, -74.0337471707382 40.69926651356212, -74.0404845353691 40.69926651356212))","[1, 3]"
5,5,"POLYGON ((-74.0270098061073 40.68394109999999, -74.0270098061073 40.68904996283504, -74.02027244147641 40.68904996283504, -74.02027244147641 40.68394109999999, -74.0270098061073 40.68394109999999))","[3, 0]"
6,6,"POLYGON ((-74.0270098061073 40.68904996283504, -74.0270098061073 40.69415843402594, -74.02027244147641 40.69415843402594, -74.02027244147641 40.68904996283504, -74.0270098061073 40.68904996283504))","[3, 1]"
7,7,"POLYGON ((-74.02027244147641 40.68394109999999, -74.02027244147641 40.68904996283504, -74.0135350768455 40.68904996283504, -74.0135350768455 40.68394109999999, -74.02027244147641 40.68394109999999))","[4, 0]"
8,8,"POLYGON ((-74.02027244147641 40.68904996283504, -74.02027244147641 40.69415843402594, -74.0135350768455 40.69415843402594, -74.0135350768455 40.68904996283504, -74.02027244147641 40.68904996283504))","[4, 1]"
9,9,"POLYGON ((-74.02027244147641 40.69926651356212, -74.02027244147641 40.70437420143299, -74.0135350768455 40.70437420143299, -74.0135350768455 40.69926651356212, -74.02027244147641 40.69926651356212))","[4, 3]"
10,10,"POLYGON ((-74.02027244147641 40.70437420143299, -74.02027244147641 40.70948149762803, -74.0135350768455 40.70948149762803, -74.0135350768455 40.70437420143299, -74.02027244147641 40.70437420143299))","[4, 4]"
11,11,"POLYGON ((-74.02027244147641 40.70948149762803, -74.02027244147641 40.71458840213665, -74.0135350768455 40.71458840213665, -74.0135350768455 40.70948149762803, -74.02027244147641 40.70948149762803))","[4, 5]"
12,12,"POLYGON ((-74.02027244147641 40.71458840213665, -74.02027244147641 40.71969491494836, -74.0135350768455 40.71969491494836, -74.0135350768455 40.71458840213665, -74.02027244147641 40.71458840213665))","[4, 6]"
13,13,"POLYGON ((-74.02027244147641 40.71969491494836, -74.02027244147641 40.72480103605261, -74.0135350768455 40.72480103605261, -74.0135350768455 40.71969491494836, -74.02027244147641 40.71969491494836))","[4, 7]"
14,14,"POLYGON ((-74.02027244147641 40.72480103605261, -74.02027244147641 40.72990676543892, -74.0135350768455 40.72990676543892, -74.0135350768455 40.72480103605261, -74.02027244147641 40.72480103605261))","[4, 8]"
15,15,"POLYGON ((-74.02027244147641 40.72990676543892, -74.02027244147641 40.7350121030968, -74.0135350768455 40.7350121030968, -74.0135350768455 40.72990676543892, -74.02027244147641 40.72990676543892))","[4, 9]"
16,16,"POLYGON ((-74.0135350768455 40.68394109999999, -74.0135350768455 40.68904996283504, -74.00679771221461 40.68904996283504, -74.00679771221461 40.68394109999999, -74.0135350768455 40.68394109999999))","[5, 0]"
17,17,"POLYGON ((-74.0135350768455 40.68904996283504, -74.0135350768455 40.69415843402594, -74.00679771221461 40.69415843402594, -74.00679771221461 40.68904996283504, -74.0135350768455 40.68904996283504))","[5, 1]"
18,18,"POLYGON ((-74.0135350768455 40.69926651356212, -74.0135350768455 40.70437420143299, -74.00679771221461 40.70437420143299, -74.00679771221461 40.69926651356212, -74.0135350768455 40.69926651356212))","[5, 3]"
19,19,"POLYGON ((-74.0135350768455 40.70437420143299, -74.0135350768455 40.70948149762803, -74.00679771221461 40.70948149762803, -74.00679771221461 40.70437420143299, -74.0135350768455 40.70437420143299))","[5, 4]"
20,20,"POLYGON ((-74.0135350768455 40.70948149762803, -74.0135350768455 40.71458840213665, -74.00679771221461 40.71458840213665, -74.00679771221461 40.70948149762803, -74.0135350768455 40.70948149762803))","[5, 5]"
21,21,"POLYGON ((-74.0135350768455 40.71458840213665, -74.0135350768455 40.71969491494836, -74.00679771221461 40.71969491494836, -74.00679771221461 40.71458840213665, -74.0135350768455 40.71458840213665))","[5, 6]"
22,22,"POLYGON ((-74.0135350768455 40.71969491494836, -74.0135350768455 40.72480103605261, -74.00679771221461 40.72480103605261, -74.00679771221461 40.71969491494836, -74.0135350768455 40.71969491494836))","[5, 7]"
23,23,"POLYGON ((-74.0135350768455 40.72480103605261, -74.0135350768455 40.72990676543892, -74.00679771221461 40.72990676543892, -74.00679771221461 40.72480103605261, -74.0135350768455 40.72480103605261))","[5, 8]"
24,24,"POLYGON ((-74.0135350768455 40.72990676543892, -74.0135350768455 40.7350121030968, -74.00679771221461 40.7350121030968, -74.00679771221461 40.72990676543892, -74.0135350768455 40.72990676543892))","[5, 9]"
25,25,"POLYGON ((-74.0135350768455 40.7350121030968, -74.0135350768455 40.74011704901576, -74.00679771221461 40.74011704901576, -74.00679771221461 40.7350121030968, -74.0135350768455 40.7350121030968))","[5, 10]"
